nconst	closeness	betweenness	degree	primaryName	gender
nm0085535	0.22360233170179797	0.0	0.0006261740763932373	Terry Black	male
nm0085775	0.3272616004895785	0.0035077316240006763	0.005635566687539136	Steve Blackman	male
nm0086194	0.3376666790476544	0.004605125060782237	0.005009392611145898	April Blair	female
nm0086694	0.31801168363242033	0.0013810489423767207	0.006261740763932373	Peter Blake	male
nm0086749	0.24471721984441036	0.0	0.0006261740763932373	Tony Blake	male
nm0088119	0.26025593312530415	0.012525758757147634	0.0012523481527864746	Alexandra Bleckner	female
nm0088479	0.23251234046906571	3.4419683721579643e-06	0.0012523481527864746	William Blinn	male
nm0089136	0.17900250063992754	0.0	0.0006261740763932373	Barbara Bloom	female
nm0089369	0.33109953745857157	0.00297127156462104	0.005009392611145898	Jill E. Blotevogel	female
nm0089731	0.2505719246988782	0.0	0.0006261740763932373	Julie Blumberg	female
nm0089946	0.18104152145773175	0.000467833109998384	0.002504696305572949	Mark Blutman	male
nm0091326	0.20210755652386564	0.0	0.0006261740763932373	Dave Boerger	male
nm0092018	0.3182788922732206	0.0012027175133969394	0.0037570444583594235	Leslie Bohem	male
nm0092578	0.27121930845192277	4.72584429356165e-05	0.0012523481527864746	Jon Bokenkamp	male
nm0093186	0.29027108145215363	3.234636964491166e-05	0.0012523481527864746	Lou Bollo	male
nm0093328	0.26595091127168474	9.355260662789734e-05	0.0012523481527864746	Tedi Sarafian	male
