writer	producer	coop	genderUncategorized_w	genderUncategorized_p	gender_writer	gender_producer
nm0064157	nm0081960	1	False	False	male	male
nm0064157	nm0140764	1	False	False	male	male
nm0064157	nm0168747	1	False	False	male	male
nm0064157	nm0340495	2	False	False	male	female
nm0064157	nm0474176	1	False	False	male	female
nm0064157	nm0587571	1	False	False	male	male
nm0064157	nm0765956	3	False	False	male	male
nm0064157	nm1144068	1	False	False	male	female
nm0064157	nm1618213	1	False	False	male	female
nm0064157	nm2467614	1	False	False	male	female
nm0064157	nm3629374	1	False	False	male	male
nm0064174	nm0006400	2	False	False	male	male
nm0064174	nm0048855	1	False	False	male	female
nm0064174	nm0213323	1	False	False	male	female
nm0064174	nm0755289	2	False	False	male	male
nm0064174	nm1266964	1	False	False	male	male
nm0064174	nm2671078	1	False	False	male	female
nm0064479	nm0108618	1	False	False	male	male
nm0064479	nm0803141	1	False	False	male	male
nm0064842	nm2524227	1	False	False	female	male
nm0065637	nm0107331	1	False	False	male	female
nm0065637	nm0439986	1	False	False	male	male
nm0065637	nm0569257	1	False	False	male	female
nm0065847	nm0175907	1	False	False	male	male
nm0065847	nm0270966	1	False	False	male	male
nm0065847	nm0800358	2	False	False	male	male
nm0065847	nm1337711	1	False	False	male	male
nm0065847	nm2140990	1	False	False	male	male
nm0065847	nm2771424	1	False	False	male	male
nm0066313	nm0456631	1	False	False	male	male
nm0066542	nm3152781	1	False	False	female	male
nm0066764	nm0688789	2	False	False	male	male
nm0066864	nm0137639	1	False	False	male	male
nm0066864	nm1024115	1	False	False	male	male
nm0066985	nm0075801	1	False	False	male	male
nm0066985	nm0113362	2	False	False	male	male
nm0066985	nm0163102	1	False	False	male	male
nm0066985	nm0319685	3	False	False	male	female
nm0066985	nm0472600	1	False	False	male	male
nm0066985	nm0757534	1	False	False	male	male
nm0066985	nm0765956	1	False	False	male	male
